cardNumber,firstName,lastName,points
7461-1147-4585-9327,Dewitt,Moen-Frami,663
4047-6393-0563-3246,Magdalena,Marquardt-Luettgen,237
5557-9560-0702-2984,Ibrahim,Durgan,576
8596-5228-5470-4353,Shaylee,Hintz-Jenkins,787
4436-3032-7822-3838,Baron,Toy,929
7558-3759-2617-0038,Mylene,Nader,474
5606-2579-8749-6255,Ayla,Dach,875
6818-0325-3314-2976,Brad,Parker,289
1022-8963-4710-6861,Horace,Dickens,869
9152-0050-8410-0533,Austen,Stark,151
8825-6712-3254-0713,Christine,Gutmann,366
4450-6542-7907-7972,Shanelle,Hauck,395
7424-3065-0876-6946,Susie,O'Reilly,503
1681-5109-8353-8394,Ebba,Bartell,137
6064-9962-8708-7974,Amir,Wisozk,106
1771-2449-7327-4178,Jermain,Predovic,327
1482-8835-4882-2126,Loyal,Schmeler,822
8508-4652-6646-4393,Westley,Gutkowski,473
3482-2866-3750-1732,Nyasia,Emard,199
9208-7026-2468-9994,Lora,O'Connell,170
6954-7605-6581-2897,Justina,Oberbrunner,93
9501-5120-3006-1691,Roy,Keeling,526
7475-2126-7426-8371,Ariane,Metz,718
8387-1233-7092-6701,Margaret,Bode,665
0556-2209-4693-5052,Karelle,Larkin,859
8098-5088-3146-9628,Ibrahim,Kling,568
1575-6349-7977-0010,Julius,O'Connell,337
9184-6295-1808-4175,Carol,Mayert,842
3158-4278-9334-1231,Kieran,Reilly,957
0844-1249-3599-2080,Anastasia,Dietrich,791
0732-4299-3933-5593,Reyna,Koss,242
9456-0078-8243-4440,Nina,Satterfield,74
3679-8022-3505-1027,Jeanne,Kuhic,169
7628-8828-5727-7187,Antoinette,Lang,623
2976-6717-1042-1786,Tyrique,Braun,871
6631-8642-4459-3539,Heather,Mueller-Zulauf,726
0045-1643-6207-7106,Santa,Mohr,795
8042-8367-3985-1063,Clovis,Ryan,92
7944-0897-9818-2755,Adam,Batz,181
5022-2828-3799-3599,Claudia,Rutherford,274
7871-2728-6150-8608,Arlo,Beer,600
8382-4857-9254-6139,Jamie,Beatty,118
7989-0585-2854-2776,Llewellyn,Morissette,838
6425-4076-2476-5368,Abigayle,Nitzsche,361
3726-0175-9693-6639,Webster,Roberts,112
4637-7976-7561-8359,Brice,Rohan,183
2850-8108-9882-6192,Natalie,Graham,458
3410-5929-6801-3108,Lonzo,Emmerich,441
5627-6861-4068-3043,June,Farrell,742
7783-0013-4679-1633,Osvaldo,Hickle,844
8650-7715-2148-9922,Kiera,Rogahn,10
4463-9590-0094-9996,Geraldine,Larkin,2
0368-2117-8210-6793,Sophie,Williamson,6
4078-6932-5599-7282,Leonardo,Kirlin-Ryan,543
7959-7325-1603-1163,Alana,Waelchi,701
8217-1360-9362-4120,Mariano,McCullough-Nienow,406
7537-5374-8990-3616,Moses,Brown,43
8728-4824-6011-3216,Noemie,Rowe,510
7755-1270-0168-4241,Brannon,Skiles,823
5328-7992-6125-7298,Daisy,Stokes,597
5604-2014-4932-0984,Hal,McCullough,826
3968-6520-6185-9236,Kade,Emmerich,777
9918-7513-4099-8564,Mckayla,Schinner,526
4641-6355-0666-3022,Clemens,Stokes,873
9231-7578-5431-8198,Dillon,Baumbach,216
7965-9705-9308-3316,Bette,Kuhn,902
8042-6651-6645-1418,Tomas,Veum,941
5382-4050-1097-6881,Earlene,Ward,275
0192-2690-3290-6920,Cordelia,Hamill,903
1604-7800-2639-4934,Mike,Raynor,638
9299-6492-9818-9662,Quinton,Hegmann,251
5830-0478-4374-4483,Keely,O'Keefe,213
6001-4243-2455-3813,Zelma,Kling,989
4031-5991-1210-3461,Clotilde,Barrows,522
6863-9911-5332-8387,Leopoldo,Farrell,907
2590-1411-6173-0848,Braden,Johnston,352
6758-1176-1131-4166,Kennedy,Oberbrunner,732
5596-8684-6245-3762,Jaleel,Quigley,726
9885-6376-0138-9363,Jayson,Jakubowski,970
4625-9623-5543-8700,Alverta,Jacobi,820
